,Unnamed: 0,BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,ServiceAreaId,ServiceAreaName,CoverEntireState,County,PartialCounty,ZipCodes,PartialCountyJustification,RowNumber,MarketCoverage,DentalOnlyPlan,DentalOnly
32091,7339,2015,TX,27248,HIOS,6,2014-11-15 04:52:41,27248,TX,TXS001,Community Gulf Coast,No,48201.0,No,,,13,,,
35379,10627,2015,KS,18558,SERFF,3,2014-09-05 06:40:30,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas Service Area,No,20181.0,No,,,102,Individual,,No
402,402,2016,FL,18628,HIOS,10,2015-10-18 12:35:12,18628,FL,FLS004,OA HMO_Florida_Coventry One_Off Exchange,No,12111.0,No,,,89,,,
34381,9629,2015,AR,70525,SERFF,3,2014-11-15 10:06:04,70525,AR,ARS001,Central,No,5117.0,No,,,20,Individual,,No
41579,16827,2015,VA,88380,SERFF,21,2015-04-22 14:50:56,88380,VA,VAS015,"HealthKeepers, Inc(Anthem BCBS)07",No,51075.0,No,,,338,SHOP (Small Group),,No
3924,3924,2016,OK,89953,HIOS,2,2015-07-09 13:17:42,89953,OK,OKS001,AD OK,No,40049.0,No,,,36,,,
14884,14884,2016,VA,42808,SERFF,4,2015-08-25 12:56:34,42808,VA,VAS002,"DentalGuard Preferred PPO Group ON, Individual ON & OFF Exchange",No,51760.0,No,,,71,SHOP (Small Group),Yes,
16429,551,2014,GA,93332,HIOS,8,2014-01-16 07:24:04,93332,GA,GAS002,Atlanta,No,13227.0,No,,,21,,,
25342,590,2015,FL,30252,HIOS,6,2014-12-10 11:54:40,30252,FL,FLS001,BlueCare Service Area,No,12119.0,No,,,54,,,
5244,5244,2016,PA,75729,HIOS,6,2015-09-25 04:20:25,75729,PA,PAS002,PPO Marketplace 2,No,42067.0,No,,,44,,,
30847,6095,2015,PA,70194,HIOS,11,2015-01-17 03:15:53,70194,PA,PAS005,Zone E - Central,No,42055.0,No,,,82,,,
17062,1184,2014,MO,44527,HIOS,7,2014-01-21 08:29:49,44527,MO,MOS001,PPO Network,No,29187.0,No,,,60,,,
24643,8765,2014,VA,54965,SERFF,4,2013-09-05 10:37:54,54965,VA,VAS002,DDS PPO,No,51570.0,No,,,159,SHOP (Small Group),,Yes
36050,11298,2015,KS,65598,SERFF,5,2014-12-10 23:15:01,65598,KS,KSS002,POS_Kansas_Preferred_On Exchange,No,20035.0,No,,,24,Individual,,No
12833,12833,2016,NH,61163,SERFF,9,2015-10-29 11:27:21,61163,NH,NHS001,Minuteman Health New Hampshire Service Area,No,33007.0,No,,,15,SHOP (Small Group),No,
40083,15331,2015,OH,68158,SERFF,2,2014-09-09 16:12:42,68158,OH,OHS001,DentalGuard Preferred PPO - OH,No,39129.0,No,,,68,SHOP (Small Group),,Yes
22862,6984,2014,NE,15438,SERFF,5,2013-10-15 10:04:03,15438,NE,NES001,Nebraska 1,No,31087.0,No,,,55,SHOP (Small Group),,No
22494,6616,2014,MI,74709,SERFF,2,2013-08-05 08:16:03,74709,MI,MIS001,Michigan Service Area,No,26017.0,No,,,20,SHOP (Small Group),,Yes
15346,15346,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,VAS001,"HealthKeepers, Inc(Anthem BCBS)All",No,51089.0,No,,,69,Individual,No,
12553,12553,2016,NE,29678,SERFF,5,2015-09-25 06:20:33,29678,NE,NES003,PPO Outside Metro,No,31143.0,No,,,87,Individual,No,
21296,5418,2014,KS,18558,SERFF,4,2013-09-13 12:24:07,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas Service Area,No,20207.0,No,,,115,SHOP (Small Group),,No
8790,8790,2016,IL,20129,SERFF,7,2015-09-25 06:20:33,20129,IL,ILS001,Health Alliance Elite Service Area,No,17061.0,No,,,41,SHOP (Small Group),No,
31706,6954,2015,TN,99248,HIOS,7,2015-01-16 17:32:32,99248,TN,TNS001,Tennessee Local Plus,No,47121.0,No,,,20,,,
9141,9141,2016,IL,36096,SERFF,23,2015-11-19 07:02:40,36096,IL,ILS094,Blue Choice Preferred PPO,No,17183.0,No,,,87,SHOP (Small Group),No,
37987,13235,2015,MI,47007,SERFF,3,2014-09-11 12:10:19,47007,MI,MIS001,Michigan,No,26135.0,No,,,73,SHOP (Small Group),,Yes
723,723,2016,GA,43802,HIOS,8,2015-11-18 07:25:09,43802,GA,GAS001,GA IEX Compass,No,13057.0,No,,,40,,,
4430,4430,2016,PA,33709,HIOS,9,2015-08-26 09:56:12,33709,PA,PAS008,Zone H - Penn Highlands Region,No,42047.0,No,,,127,,,
7763,7763,2016,MO,32753,OPM,5,2015-08-25 12:56:34,32753,MO,MOS201,Healthy Alliance Life Co(Anthem BCBS)All,No,29225.0,No,,,96,Individual,No,
23110,7232,2014,OH,74313,SERFF,4,2013-09-23 09:00:13,74313,OH,OHS001,Northwest Ohio,No,39137.0,No,,,25,Individual,,No
38161,13409,2015,MI,61465,SERFF,3,2014-09-11 12:10:19,61465,MI,MIS001,Michigan,No,26147.0,No,,,81,SHOP (Small Group),,Yes
2310,2310,2016,MO,32753,HIOS,14,2015-10-18 12:35:12,32753,MO,MOS009,Healthy Alliance Life Co(Anthem BCBS)Dental,No,29041.0,No,,,201,,,
32656,7904,2015,TX,33602,HIOS,7,2015-02-19 06:21:02,33602,TX,TXS262,Blue Advantage HMO,No,48293.0,No,,,263,,,
15865,15865,2016,WV,96480,SERFF,2,2015-08-20 12:28:36,96480,WV,WVS001,"DentalGuard Preferred Group & Individual PPO, On & Off WV",No,54039.0,No,,,19,SHOP (Small Group),Yes,
8219,8219,2016,TX,33602,OPM,6,2015-11-21 06:31:07,33602,TX,TXS264,Blue Advantage HMO,No,48405.0,No,,,211,Individual,No,
17662,1784,2014,PA,52899,HIOS,11,2014-03-19 07:06:49,52899,PA,PAS005,UPMCHP HMO Gatekeeper (SHOP) Dental HMO,No,42053.0,No,,,61,,,
4924,4924,2016,PA,68711,HIOS,5,2015-08-07 03:04:31,68711,PA,PAS001,PA Marketplace,No,42073.0,No,,,47,,,
35925,11173,2015,KS,63790,SERFF,6,2014-11-04 20:29:03,63790,KS,KSS001,Service Area 1,No,20077.0,No,,,44,Individual,,Yes
20897,5019,2014,IL,36096,SERFF,10,2014-01-22 11:51:12,36096,IL,ILS002,Blue Choice PPO,No,17197.0,No,,,22,Individual,,No
3797,3797,2016,OK,87571,HIOS,10,2015-08-26 09:56:12,87571,OK,OKS051,Blue Preferred PPO,No,40059.0,No,,,43,,,
2123,2123,2016,MO,32753,HIOS,14,2015-10-18 12:35:12,32753,MO,MOS001,Healthy Alliance Life Co(Anthem BCBS)All,No,29510.0,No,,,14,,,
27004,2252,2015,IN,54192,HIOS,9,2014-11-15 04:52:41,54192,IN,INS001,Indianapolis,No,18047.0,No,,,27,,,
33894,9142,2015,PA,70194,OPM,6,2015-01-23 12:43:55,70194,PA,PAS201,Zone C - West,No,42039.0,No,,,13,Individual,,No
13236,13236,2016,OH,64353,SERFF,10,2015-10-21 17:48:08,64353,OH,OHS002,Molina,No,39099.0,No,,,44,Individual,No,
6671,6671,2016,TX,48364,HIOS,2,2015-08-21 03:45:06,48364,TX,TXS001,Dental Managed Care,No,48439.0,No,,,33,,,
38843,14091,2015,MI,79116,SERFF,1,2014-08-08 13:45:50,79116,MI,MIS001,Michigan,No,26055.0,No,,,63,SHOP (Small Group),,Yes
32329,7577,2015,TX,28020,HIOS,6,2014-11-11 04:41:18,28020,TX,TXS011,Service Area 11,No,48217.0,No,,,242,,,
15828,15828,2016,VA,99663,SERFF,10,2015-08-27 03:52:03,99663,VA,VAS005,POS_VA_Southside Tiered,No,51690.0,No,,,43,Individual,No,
35477,10725,2015,KS,27811,SERFF,2,2014-09-04 06:14:21,27811,KS,KSS001,BlueCross BlueShield Kansas Solutions Service Area,No,20025.0,No,,,25,Individual,,No
38478,13726,2015,MT,24867,SERFF,8,2014-11-04 20:29:03,24867,MT,MTS002,Service Area 2,No,30001.0,No,,,31,Individual,,No
31070,6318,2015,PA,94118,HIOS,2,2014-08-03 08:59:32,94118,PA,PAS001,Pennsylvania,No,42027.0,No,,,25,,,
33943,9191,2015,PA,70194,OPM,6,2015-01-23 12:43:55,70194,PA,PAS202,Zone F - Central,No,42027.0,Yes,"16677, 16801, 16802, 16803, 16804, 16805, 16820, 16823, 16826, 16827, 16828, 16832, 16835, 16841, 16844, 16851, 16852, 16853, 16854, 16856, 16864, 16865, 16866, 16868, 16870, 16872, 16875, 16882",This issuer actually does cover the entire county however the coverage resides in a different service area.  Please see the coverage of the remaining ZIPs in zone C.,62,Individual,,No
133,133,2016,AZ,21463,HIOS,2,2015-07-10 02:19:03,21463,AZ,AZS001,Arizona,Yes,,,,,13,,,
27485,2733,2015,LA,72623,HIOS,5,2014-09-05 03:32:16,72623,LA,LAS001,Louisiana,Yes,,,,,13,,,
3616,3616,2016,ND,90106,HIOS,7,2015-08-25 05:06:23,90106,ND,NDS001,PPO,No,38099.0,No,,,13,,,
15454,15454,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,VAS001,"HealthKeepers, Inc(Anthem BCBS)All",No,51171.0,No,,,123,SHOP (Small Group),No,
34011,9259,2015,DE,60359,SERFF,1,2014-11-14 14:52:18,60359,DE,DES001,MetLife Preferred Dental Program,Yes,,,,,13,SHOP (Small Group),,Yes
12153,12153,2016,MI,98185,SERFF,4,2015-08-22 23:36:24,98185,MI,MIS001,BCN Commercial,No,26049.0,No,,,34,Individual,No,
7760,7760,2016,MO,32753,OPM,5,2015-08-25 12:56:34,32753,MO,MOS201,Healthy Alliance Life Co(Anthem BCBS)All,No,29219.0,No,,,93,Individual,No,
38316,13564,2015,MI,98185,SERFF,5,2015-04-30 14:45:44,98185,MI,MIS001,BCN Commercial,No,26015.0,No,,,18,Individual,,No
27940,3188,2015,MO,32753,HIOS,20,2015-07-22 09:15:52,32753,MO,MOS009,Healthy Alliance Life Co(Anthem BCBS)Dental,No,29221.0,No,,,264,,,
34372,9620,2015,AR,62141,SERFF,4,2015-02-22 21:18:17,62141,AR,ARS001,Ambetter of Arkansas,Yes,,,,,13,Individual,,No
25958,1206,2015,GA,43802,HIOS,8,2014-12-11 04:09:12,43802,GA,GAS001,GA- Compass,No,13119.0,No,,,69,,,
798,798,2016,GA,43802,HIOS,8,2015-11-18 07:25:09,43802,GA,GAS001,GA IEX Compass,No,13213.0,No,,,115,,,
16597,719,2014,IN,85320,HIOS,7,2014-01-21 08:29:49,85320,IN,INS001,MDwise,No,18089.0,No,,,13,,,
41743,16991,2015,VA,54965,SERFF,7,2014-09-09 16:12:42,54965,VA,VAS001,DDS DHMO VA,No,51137.0,No,,,49,SHOP (Small Group),,Yes
6840,6840,2016,WY,76197,HIOS,3,2015-08-27 11:14:25,76197,WY,WYS001,Wyoming,Yes,,,,,13,,,
3015,3015,2016,MS,90714,HIOS,8,2015-08-27 11:14:25,90714,MS,MSS001,Ambetter of Magnolia,No,28073.0,No,,,34,,,
17511,1633,2014,PA,16481,HIOS,11,2014-03-19 07:06:49,16481,PA,PAS004,UPMC Health Network PPO/EPO,No,42053.0,No,,,67,,,
6818,6818,2016,WI,94529,HIOS,6,2015-11-14 04:47:21,94529,WI,WIS006,GHC-SCW Small Group POS Service Area,No,55021.0,No,,,45,,,
26837,2085,2015,IN,17575,HIOS,14,2014-12-12 09:23:47,17575,IN,INS017,Anthem Ins Companies Inc(Anthem BCBS)16,No,18019.0,No,,,95,,,
29741,4989,2015,OK,89953,HIOS,4,2014-10-03 13:54:42,89953,OK,OKS001,AD OK,No,40055.0,No,,,39,,,
8469,8469,2016,WI,79475,OPM,5,2015-10-23 10:28:16,79475,WI,WIS201,Compcare Health Serv Ins Co(Anthem BCBS)All,No,55063.0,No,,,14,Individual,No,
12685,12685,2016,NE,50022,SERFF,3,2015-08-22 23:36:24,50022,NE,NES001,NE Service Area,No,31139.0,No,,,66,SHOP (Small Group),Yes,
10614,10614,2016,MI,29241,SERFF,7,2015-10-21 17:48:08,29241,MI,MIS001,PPO Service Area - INDV,No,26025.0,No,,,23,Individual,No,
8922,8922,2016,IL,20129,SERFF,7,2015-09-25 06:20:33,20129,IL,ILS001,Health Alliance Elite Service Area,No,17199.0,No,,,107,SHOP (Small Group),No,
7534,7534,2016,IL,36096,OPM,5,2015-11-19 07:02:40,36096,IL,ILS136,Blue Choice Preferred PPO,No,17051.0,No,,,93,Individual,No,
35616,10864,2015,KS,27811,SERFF,2,2014-09-04 06:14:21,27811,KS,KSS001,BlueCross BlueShield Kansas Solutions Service Area,No,20165.0,No,,,94,Individual,,No
893,893,2016,GA,49046,HIOS,16,2015-08-25 05:06:23,49046,GA,GAS004,"BCBS Healthcare Plan of Georgia, Inc.03",No,13247.0,No,,,53,,,
22527,6649,2014,MI,74709,SERFF,2,2013-08-05 08:16:03,74709,MI,MIS001,Michigan Service Area,No,26097.0,No,,,53,SHOP (Small Group),,Yes
35007,10255,2015,IL,85099,SERFF,2,2014-09-09 16:12:42,85099,IL,ILS001,DentalGuard Preferred PPO - IL,No,17121.0,No,,,61,SHOP (Small Group),,Yes
26550,1798,2015,GA,63940,HIOS,4,2014-08-27 03:27:11,63940,GA,GAS001,DentalGuard Preferred PPO - GA,No,13309.0,No,,,154,,,
25340,588,2015,FL,30252,HIOS,6,2014-12-10 11:54:40,30252,FL,FLS001,BlueCare Service Area,No,12115.0,No,,,52,,,
26423,1671,2015,GA,63940,HIOS,4,2014-08-27 03:27:11,63940,GA,GAS001,DentalGuard Preferred PPO - GA,No,13029.0,No,,,27,,,
26389,1637,2015,GA,49046,HIOS,19,2015-01-16 17:32:32,49046,GA,GAS017,"BCBS Healthcare Plan of Georgia, Inc.16",No,13319.0,No,,,171,,,
40119,15367,2015,OH,74313,SERFF,3,2014-09-11 12:10:19,74313,OH,OHS001,Northwest Ohio,No,39069.0,No,,,19,Individual,,No
7632,7632,2016,KS,18558,OPM,3,2015-11-18 10:26:26,18558,KS,KSS201,Blue Cross and Blue Shield of Kansas Service Area,No,20149.0,No,,,86,Individual,No,
3470,3470,2016,NC,55440,HIOS,5,2015-08-19 14:41:20,55440,NC,NCS002,DentalGuard Preferred Group OFF Exchange Only,No,37151.0,No,,,77,,,
41797,17045,2015,VA,54965,SERFF,7,2014-09-09 16:12:42,54965,VA,VAS002,DDS PPO VA,No,51059.0,No,,,76,SHOP (Small Group),,Yes
15125,15125,2016,VA,54965,SERFF,7,2015-08-25 12:56:34,54965,VA,VAS002,DDS Access PPO,No,51019.0,No,,,165,SHOP (Small Group),Yes,
1184,1184,2016,GA,82824,HIOS,8,2015-10-18 12:35:12,82824,GA,GAS001,OA HMO_Atlanta Georgia,No,13217.0,No,,,23,,,
1404,1404,2016,GA,89942,HIOS,7,2015-10-20 04:38:50,89942,GA,GAS002,Individual,No,13117.0,No,,,57,,,
1996,1996,2016,LA,67243,HIOS,6,2015-09-27 18:35:28,67243,LA,LAS001,Vantage Tier 1 Service Area,No,22015.0,No,,,14,,,
12755,12755,2016,NE,98048,SERFF,3,2015-08-22 23:36:24,98048,NE,NES001,NE,No,31097.0,No,,,34,SHOP (Small Group),Yes,
9363,9363,2016,IL,79763,SERFF,9,2015-08-30 09:33:32,79763,IL,ILS009,"Adventist P/G/S/B - Rating Area 1, 3, 4 - Will",No,17043.0,No,,,35,Individual,No,
24306,8428,2014,VA,88380,SERFF,7,2014-03-17 13:54:37,88380,VA,VAS001,"HealthKeepers, Inc (Anthem BCBS)",No,51595.0,No,,,135,Individual,,No
32504,7752,2015,TX,33602,HIOS,7,2015-02-19 06:21:02,33602,TX,TXS262,Blue Advantage HMO,No,48117.0,No,,,111,,,
15848,15848,2016,WV,53843,SERFF,6,2015-08-20 12:28:36,53843,WV,WVS001,PPO,Yes,,,,,13,SHOP (Small Group),Yes,
38109,13357,2015,MI,61465,SERFF,3,2014-09-11 12:10:19,61465,MI,MIS001,Michigan,No,26035.0,No,,,29,SHOP (Small Group),,Yes
3444,3444,2016,NC,55440,HIOS,5,2015-08-19 14:41:20,55440,NC,NCS001,DentalGuard Preferred Group ON Exchange & Individual Off & On,No,37197.0,No,,,51,,,
31343,6591,2015,TN,14002,HIOS,3,2014-09-04 03:25:43,14002,TN,TNS008,West Central,No,47119.0,No,,,103,,,
23518,7640,2014,VA,16064,SERFF,6,2014-06-23 15:22:56,16064,VA,VAS001,Anthem Health Plans of VA (Anthem BCBS),No,51685.0,No,,,142,Individual,,Yes
38796,14044,2015,MI,79116,SERFF,1,2014-08-08 13:45:50,79116,MI,MIS001,Michigan,No,26163.0,No,,,16,SHOP (Small Group),,Yes
6996,6996,2016,WI,37833,HIOS,3,2015-08-26 09:56:12,37833,WI,WIS001,Unity Prime,No,55025.0,No,,,13,,,
33003,8251,2015,WI,32754,HIOS,8,2015-04-22 11:06:15,32754,WI,WIS001,Managed Health Services,No,55039.0,No,,,14,,,
10452,10452,2016,MI,26380,SERFF,4,2015-08-22 23:36:24,26380,MI,MIS001,Service Area 1,No,26025.0,No,,,25,SHOP (Small Group),Yes,
34076,9324,2015,IA,50730,SERFF,2,2014-09-10 06:01:28,50730,IA,IAS001,DentalGuard Preferred PPO - IA,No,19043.0,No,,,21,SHOP (Small Group),,Yes
11409,11409,2016,MI,63631,SERFF,5,2015-08-27 03:52:03,63631,MI,MIS002,MI SHOP Choice,No,26021.0,No,,,104,SHOP (Small Group),No,
28461,3709,2015,MO,86182,HIOS,2,2014-08-03 08:59:32,86182,MO,MOS001,Missouri,Yes,,,,,13,,,
14158,14158,2016,SD,60536,SERFF,6,2015-10-29 11:27:21,60536,SD,SDS002,Avera Health Plans Preferred,No,46023.0,No,,,15,Individual,No,
4697,4697,2016,PA,53789,HIOS,5,2015-10-20 04:38:50,53789,PA,PAS004,KHPC Service Area 8 R7,No,42011.0,No,,,49,,,
25939,1187,2015,GA,43802,HIOS,8,2014-12-11 04:09:12,43802,GA,GAS001,GA- Compass,No,13079.0,No,,,50,,,
16608,730,2014,IN,85320,HIOS,7,2014-01-21 08:29:49,85320,IN,INS007,MDwise,No,18003.0,No,,,24,,,
19605,3727,2014,WI,37833,HIOS,6,2013-11-23 14:44:18,37833,WI,WIS001,Unity UW Health,No,55049.0,No,,,14,,,
36346,11594,2015,MI,11083,SERFF,3,2014-09-11 12:10:19,11083,MI,MIS001,MetLife Preferred Dental Program,No,26027.0,No,,,26,SHOP (Small Group),,Yes
12619,12619,2016,NE,50022,SERFF,3,2015-08-22 23:36:24,50022,NE,NES001,NE Service Area,No,31053.0,No,,,33,Individual,Yes,
16309,431,2014,GA,45495,HIOS,4,2013-08-30 07:44:10,45495,GA,GAS001,Peach State Health Plan,No,13133.0,No,,,19,,,
11256,11256,2016,MI,46275,SERFF,5,2015-08-22 23:36:24,46275,MI,MIS001,Detroit,No,26163.0,No,,,15,Individual,No,
29396,4644,2015,OK,29176,HIOS,7,2014-11-11 04:41:18,29176,OK,OKS003,Service Area 3,No,40039.0,No,,,45,,,
10305,10305,2016,MI,15560,SERFF,9,2015-08-28 13:59:00,15560,MI,MIS003,Dental PPO,No,26027.0,No,,,34,SHOP (Small Group),Yes,
