,Unnamed: 0,BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,StandardComponentId,PlanId,BenefitName,CopayInnTier1,CopayInnTier2,CopayOutofNet,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,IsEHB,IsStateMandate,IsCovered,QuantLimitOnSvc,LimitQty,LimitUnit,MinimumStay,Exclusions,Explanation,EHBVarReason,IsExclFromInnMOOP,IsExclFromOonMOOP,RowNumber,IsSubjToDedTier1,IsSubjToDedTier2
2200591,396338,2014,OK,53524,HIOS,6,2013-11-26 13:14:08,53524,OK,53524OK0050001,53524OK0050001-03,"Other Practitioner Office Visit (Nurse, Physician Assistant)",$5,,No Charge after deductible,No Charge,,50% Coinsurance after deductible,Yes,,Covered,No,,,,,,,No,No,63,No,No
3730318,761196,2015,SC,39996,HIOS,5,11/13/2014 10:25,39996,SC,39996SC0220029,39996SC0220029-03,Breast Reconstructive Surgery,No Charge,,No Charge,25% Coinsurance after deductible,,50% Coinsurance after deductible,,Yes,Covered,,,,,,,,No,No,132,Yes,No
3395594,426472,2015,MO,34762,HIOS,9,1/17/2015 3:15,34762,MO,34762MO0180008,34762MO0180008-01,Transplant,No Charge,,No Charge,40% Coinsurance after deductible,,60% Coinsurance after deductible,Yes,,Covered,Yes,60.0,Days per Year,,"Covered services do not include a nonhuman or mechanical Organ Transplant. Covered services do not include testing, typing, or screening when the person does not become a transplant or tissue donor. Covered services do not include transportation and lodging expenses associated with a transplant except as specifically provided. Transplants are limited to those specified in the Contract when Medically Necessary. Covered services do not include any organ or tissue that is sold rather than donated to a recipient covered under the Contract.","Organ transplants performed by non-preferred providers are subject to a $100,000 lifetime maximum. Any and all Organ Transplant Services received from Non-Preferred Providers (including follow-up services) provided through Us will be subject to the lifetime maximum. When an organ transplant is performed as an inpatient procedure, it will be subject to the inpatient cost-sharing. If an organ transplant is performed as an outpatient procedure, it will be subject to the outpatient cost-sharing.Transportation and lodging expenses will be provided for up to 60 days per covered transplant. A Covered Person and the Covered Person's Immediate Family Member who accompanied the Covered Person will receive a $150 per diem.",Other Law/Regulation,No,No,117,Yes,Yes
2483832,679579,2014,WI,94529,HIOS,10,2014-03-19 07:06:49,94529,WI,94529WI0210009,94529WI0210009-05,X-rays and Diagnostic Imaging,No Charge,,$0,30% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,No,109,Yes,Yes
527623,527623,2016,PA,33709,HIOS,9,2015-08-26 09:56:12,33709,PA,33709PA0630002,33709PA0630002-00,Skilled Nursing Facility,Not Applicable,Not Applicable,Not Applicable,No Charge after deductible,No Charge after deductible,100%,Yes,,Covered,Yes,120.0,Days per Benefit Period,,,,Substantially Equal,No,No,81,,
1449046,1449046,2016,NE,15438,SERFF,5,2015-08-25 12:56:34,15438,NE,15438NE0150001,15438NE0150001-00,Off Label Prescription Drugs,$65 Copay after deductible,,Not Applicable,No Charge after deductible,,100%,Yes,Yes,Covered,,,,,Cost sharing could vary based on drug and pharmacy selected. Please see SBC for full plan details.,,,No,No,130,,
3716504,747382,2015,PA,33871,HIOS,8,7/22/2015 9:15,33871,PA,33871PA0100012,33871PA0100012-00,Routine Eye Exam (Adult),No Charge,,No Charge,No Charge,,100%,Yes,,Covered,Yes,1.0,Visit(s) per Year,,,,Substantially Equal,No,Yes,72,No,No
3925092,955970,2015,TX,33602,HIOS,7,2/19/2015 6:21,33602,TX,33602TX0460040,33602TX0460040-03,Laboratory Outpatient and Professional Services,No Charge,,No Charge,20% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,No,108,Yes,Yes
711841,711841,2016,TX,33602,HIOS,8,2015-08-26 09:56:12,33602,TX,33602TX0460287,33602TX0460287-01,Chemotherapy,Not Applicable,Not Applicable,Not Applicable,30% Coinsurance after deductible,Not Applicable,100%,Yes,,Covered,,,,,,,Additional EHB Benefit,No,No,121,,
2052283,248030,2014,IN,50816,HIOS,9,2013-11-26 13:14:08,50816,IN,50816IN0130002,50816IN0130002-00,Preventive Care/Screening/Immunization,$0,,$0,0%,,100%,Yes,Yes,Covered,,,,,,,,No,Yes,98,No,No
1231557,1231557,2016,IL,36096,SERFF,23,2015-11-19 07:02:40,36096,IL,36096IL0820006,36096IL0820006-00,Specialist Visit,$50,,Not Applicable,Not Applicable,,100%,Yes,,Covered,,,,,,Referrals are required for some services. Please check with your Medical Group for details.,,No,No,62,,
4944249,1975127,2015,OR,63474,SERFF,11,12/10/2014 23:15,63474,OR,63474OR0290001,63474OR0290001-06,Brain Injury,No Charge,,No Charge,10% Coinsurance after deductible,,50% Coinsurance after deductible,,Yes,Covered,Yes,30.0,Visit(s) per Year,,,30 visits with up to an additional 30 visits per condition for certain conditions,Additional EHB Benefit,No,No,135,Yes,Yes
266882,266882,2016,IN,36373,HIOS,9,2015-11-17 13:45:28,36373,IN,36373IN0020008,36373IN0020008-03,Inpatient Physician and Surgical Services,Not Applicable,,Not Applicable,30%,,100%,Yes,,Covered,No,,,,,"Quantitative limit units apply, see EHB benchmark.",,No,No,78,,
117342,117342,2016,FL,27357,HIOS,4,2015-10-20 04:38:50,27357,FL,27357FL1880012,27357FL1880012-01,Basic Dental Care - Child,$0,,Not Applicable,Not Applicable,,100%,Yes,,Covered,No,,,,,"Benefits, limitations and exclusions for medically necessary services apply",,No,Yes,110,,
3282595,313473,2015,FL,86382,HIOS,6,2/19/2015 6:21,86382,FL,86382FL0020014,86382FL0020014-05,Basic Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,110,,
2474366,670113,2014,WI,91058,HIOS,3,2013-09-02 11:39:25,91058,WI,91058WI0060004,91058WI0060004-01,Orthodontia - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,111,,
17879,17879,2016,AZ,23307,HIOS,9,2015-08-26 09:56:12,23307,AZ,23307AZ0400002,23307AZ0400002-00,Outpatient Surgery Physician/Surgical Services,Not Applicable,,Not Applicable,No Charge after deductible,,100%,Yes,,Covered,No,,,,,,,No,No,65,,
3642714,673592,2015,TN,14002,HIOS,3,9/4/2014 3:25,14002,TN,14002TN0340018,14002TN0340018-01,"Other Practitioner Office Visit (Nurse, Physician Assistant)",No Charge,,No Charge,25% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,No,,,,"a. Office visits, physical exams and related immunizations and tests, when required solely for: (1) sports; (2) camp; (3) employment; (4) travel; (5) insurance; (6) marriage or legal proceedings. b. Routine foot care for the treatment of: (1) flat feet; (2) corns; (3) bunions; (4) calluses; (5) toenails; (6) fallen arches; and (7) weak feet or chronic foot strain. c. Rehabilitative therapies in excess of the limitations of the Therapeutic/ Rehabilitative/Habilitative benefit. d. Dental procedures, except as otherwise indicated in this Policy.","Medically Necessary and Appropriate services in a Practitioner?s office. a. Diagnosis and treatment of illness or injury. b. Injections and medications administered in a Practitioner?s office , except Specialty Drugs. c. Second surgical opinions given by a Practitioner who is not in the same medical group as the Practitioner who initially recommended Surgery. d. Preventive/Well Care Services. e. Telemedicine.",Additional EHB Benefit,No,No,63,Yes,No
2760174,955921,2014,NE,29678,SERFF,4,2013-10-15 10:04:03,29678,NE,29678NE1090001,29678NE1090001-00,Hospice Services,No Charge,,No Charge,20% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,,,,,,,Substantially Equal,No,No,66,Yes,No
3437101,467979,2015,MO,44527,HIOS,8,10/5/2014 17:13,44527,MO,44527MO0150006,44527MO0150006-06,Basic Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,113,,
131335,131335,2016,FL,30252,HIOS,8,2015-09-02 08:31:46,30252,FL,30252FL0070005,30252FL0070005-03,Orthodontia - Adult,,,,,,,,,Not Covered,,,,,,,,,,114,,
4731605,1762483,2015,MI,89029,SERFF,9,11/15/2014 10:06,89029,MI,89029MI0250017,89029MI0250017-01,Orthodontia - Adult,,,,,,,,,Not Covered,,,,,,,,,,114,,
3191271,222149,2015,AZ,60761,HIOS,13,1/21/2015 9:35,60761,AZ,60761AZ0290001,60761AZ0290001-01,Allergy Testing,$60,,$0,0%,,100%,Yes,,Covered,,,,,,,,No,Yes,120,No,No
4772774,1803652,2015,OR,10091,SERFF,14,1/22/2015 16:02,10091,OR,10091OR0380003,10091OR0380003-02,Reconstructive Surgery,$0,,$0,0%,,0%,Yes,Yes,Covered,No,,,,"Does not require coverage of treatment of developmental maxillofacial conditions that result in overbite, crossbite, maloclussion or similar develomenal irregularities of the teeth or temporomandibular joint disorder.","This plan covers one attempt at cosmetic or reconstructive surgery in the following situations: When necessary to correct a functional disorder; or when necessary because of an accidental injury, or to correct a scar or defect that resulted from treatment of an accidental injury; or when necessary to correct a scar or defect on the head or neck that resulted from a covered surgery. Cosmetic or reconstructive srgery must take place within 18 months after the injury, surgery, scar or defect first occured. ""Maxiofacial prosthetic services considered necessary for adjunctive treatment"" means restoration and management of head and facial structures that cannot be replaced with living tisse and that are defective because of disease, trauma or birth and developmental deformities when such restoration and management are performed for the purposes of controlling or eliminating infection, controlling or eliminating pain; or restoring facial configration of functions such as speech, swallowing or chewing but not including cosmetic procedures rendered to improve on the normal range of conditions. Treatment of craniofacial anomally if the services are medically necessary to restore function.",Substantially Equal,No,No,128,Yes,Yes
4642212,1673090,2015,MI,41895,SERFF,8,2/22/2015 21:18,41895,MI,41895MI0010013,41895MI0010013-03,Diabetes Education,$80,$105,$0,No Charge,No Charge,50% Coinsurance after deductible,,,Covered,,,,,,,Additional EHB Benefit,No,No,123,Yes,Yes
890220,890220,2016,WI,37833,HIOS,3,2015-08-26 09:56:12,37833,WI,37833WI0510041,37833WI0510041-03,Rehabilitative Occupational and Rehabilitative Physical Therapy,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,100%,Yes,,Covered,Yes,40.0,Visit(s) per Benefit Period,,,20 OT visits and 20 PT visits.,Substantially Equal,No,Yes,106,,
2612492,808239,2014,ID,60597,SERFF,9,2013-10-16 19:58:29,60597,ID,60597ID0170012,60597ID0170012-03,Routine Eye Exam (Adult),,,,,,,,,Not Covered,,,,,,,,,,72,,
2900165,1095912,2014,UT,27619,SERFF,7,2014-01-24 09:49:15,27619,UT,27619UT0010002,27619UT0010002-02,Dental Check-Up for Children,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,104,,
3307135,338013,2015,AZ,91450,HIOS,7,4/22/2015 11:06,91450,AZ,91450AZ0160015,91450AZ0160015-00,Specialist Visit,$40,,$0,No Charge,,100%,Yes,,Covered,,,,,,,,No,Yes,62,No,No
4022566,1053444,2015,WI,37833,HIOS,7,11/9/2014 4:38,37833,WI,37833WI0380042,37833WI0380042-01,Primary Care e-Visit,$10,,No Charge,No Charge,,100%,,,Covered,,,,,,,Additional EHB Benefit,No,Yes,135,No,No
2469921,665668,2014,WI,91058,HIOS,3,2013-09-02 11:39:25,91058,WI,91058WI0050003,91058WI0050003-02,"Imaging (CT/PET Scans, MRIs)",$0,,$0,0%,,0%,Yes,,Covered,,,,,,,,No,No,97,Yes,No
319009,319009,2016,MO,30613,HIOS,13,2015-08-26 09:56:12,30613,MO,30613MO0570005,30613MO0570005-01,Substance Abuse Disorder Outpatient Services,Not Applicable,Not Applicable,Not Applicable,20% Coinsurance after deductible,Not Applicable,40% Coinsurance after deductible,Yes,Yes,Covered,No,,,,,Includes Partial Hospitalization,,No,No,86,,
168213,168213,2016,FL,56503,HIOS,7,2015-10-20 04:38:50,56503,FL,56503FL2550002,56503FL2550002-02,Mental/Behavioral Health Outpatient Services,$0,,Not Applicable,0%,,100%,Yes,,Covered,No,,,,,,Substantially Equal,No,No,84,,
1512214,1512214,2016,NV,33670,SERFF,6,2015-08-21 06:27:38,33670,NV,33670NV1050013,33670NV1050013-01,Treatment for Temporomandibular Joint Disorders,Not Applicable,,Not Applicable,15% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,,No,No,126,,
3081466,112344,2015,GA,45495,HIOS,8,2/19/2015 6:21,45495,GA,45495GA0010014,45495GA0010014-06,Weight Loss Programs,,,,,,,,,Not Covered,,,,,,,,,,101,,
3768591,799469,2015,PA,53789,HIOS,12,6/19/2015 13:25,53789,PA,53789PA0110005,53789PA0110005-01,Diabetes Education,No Charge,No Charge,No Charge,50%,50%,100%,,,Covered,,,,,,,Additional EHB Benefit,No,No,123,Yes,Yes
172910,172910,2016,FL,56503,HIOS,7,2015-10-20 04:38:50,56503,FL,56503FL2600002,56503FL2600002-03,Skilled Nursing Facility,Not Applicable,,Not Applicable,40%,,30% Coinsurance after deductible,Yes,,Covered,Yes,60.0,Days per Benefit Period,,Pre-certification/pre-authorization of coverage required,Pre-certification/pre-authorization of coverage required,Substantially Equal,No,No,81,,
3747046,777924,2015,PA,45127,HIOS,8,6/19/2015 13:25,45127,PA,45127PA0020012,45127PA0020012-00,Radiation,No Charge,No Charge,No Charge,No Charge after deductible,No Charge after deductible,50% Coinsurance after deductible,,,Covered,,,,,,,Additional EHB Benefit,No,No,122,Yes,Yes
3159542,190420,2015,AZ,53901,HIOS,4,9/4/2014 3:25,53901,AZ,53901AZ1180001,53901AZ1180001-00,Radiation,No Charge,,No Charge,No Charge after deductible,,100%,Yes,,Covered,,,,,,,,No,No,122,Yes,No
1970511,166258,2014,FL,56503,HIOS,6,2014-03-19 07:06:49,56503,FL,56503FL1410002,56503FL1410002-06,Eye Glasses for Children,$25,,$0,No Charge,,100%,Yes,,Covered,Yes,1.0,Item(s) per Year,,,,Substantially Equal,No,No,103,No,No
717226,717226,2016,TX,33602,HIOS,8,2015-08-26 09:56:12,33602,TX,33602TX0460299,33602TX0460299-05,Nutritional Counseling,Not Applicable,Not Applicable,Not Applicable,30% Coinsurance after deductible,Not Applicable,100%,Yes,Yes,Covered,,,,,,"Covered for Preventive, Diabetes.",Additional EHB Benefit,No,No,127,,
4026089,1056967,2015,WI,37833,HIOS,7,11/9/2014 4:38,37833,WI,37833WI0510005,37833WI0510005-01,Orthodontia - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,111,,
4679017,1709895,2015,NV,60156,SERFF,10,12/10/2014 23:15,60156,NV,60156NV0230024,60156NV0230024-04,Mental/Behavioral Health Outpatient Services,No Charge,,No Charge,10% Coinsurance after deductible,,100%,Yes,Yes,Covered,,,,,,,Substantially Equal,No,No,84,Yes,Yes
4247484,1278362,2015,TX,91716,HIOS,9,9/6/2014 3:39,91716,TX,91716TX0080021,91716TX0080021-06,Major Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Other Law/Regulation,,,112,,
1286046,1286046,2016,IL,36096,SERFF,23,2015-11-19 07:02:40,36096,IL,36096IL0990079,36096IL0990079-02,Major Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,No,No,112,,
4718676,1749554,2015,NM,75605,SERFF,8,2/22/2015 21:18,75605,NM,75605NM0390012,75605NM0390012-02,"Outpatient Facility Fee (e.g.,  Ambulatory Surgery Center)",$0,,$0,0%,,100%,Yes,,Covered,,,,,,,,No,No,64,Yes,Yes
789776,789776,2016,TX,33602,HIOS,8,2015-08-26 09:56:12,33602,TX,33602TX0770047,33602TX0770047-04,Major Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,Dental Only Plan Available,No,No,115,,
3391236,422114,2015,IN,33380,HIOS,9,1/20/2015 13:44,33380,IN,33380IN0020007,33380IN0020007-01,Eye Glasses for Children,No Charge,,No Charge,No Charge,,100%,Yes,,Covered,Yes,1.0,Item(s) per Year,,,,,No,No,103,Yes,No
2991466,22344,2015,GA,20544,HIOS,5,11/12/2014 5:24,20544,GA,20544GA0200029,20544GA0200029-01,Major Dental Care - Child,No Charge,,No Charge,40%,,40%,Yes,,Covered,,,,,,,,No,No,112,No,No
4920731,1951609,2015,SD,60536,SERFF,6,10/28/2014 20:25,60536,SD,60536SD0010010,60536SD0010010-01,Skilled Nursing Facility,$0 Copay per Day,,$0 Copay per Day,10% Coinsurance after deductible,,40% Coinsurance after deductible,Yes,,Covered,Yes,100.0,Days per Year,,,100-day confinement limit is for services from participating providers. 60-day confinement limit for services from non-participating providers. Same confinement limit if readmitted with same diagnosis within 60 days.,Substantially Equal,No,No,81,Yes,No
4113879,1144757,2015,WI,58326,HIOS,5,9/6/2014 3:39,58326,WI,58326WI0060007,58326WI0060007-01,Rehabilitative Speech Therapy,No Charge,,No Charge,0%,,100%,Yes,,Covered,Yes,30.0,Visit(s) per Year,,,,Substantially Equal,No,No,105,Yes,Yes
562321,562321,2016,PA,62560,HIOS,4,2015-08-26 09:56:12,62560,PA,62560PA0020053,62560PA0020053-01,Hearing Aids,,,,,,,,,Not Covered,,,,,,,,,,96,,
517035,517035,2016,PA,22444,HIOS,7,2015-10-23 02:29:38,22444,PA,22444PA0040059,22444PA0040059-04,Dental Anesthesia,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,30% Coinsurance after deductible,Yes,Yes,Covered,No,,,,,,,No,No,131,,
3934829,965707,2015,TX,33602,HIOS,7,2/19/2015 6:21,33602,TX,33602TX0460066,33602TX0460066-05,Prenatal and Postnatal Care,$30,,No Charge,No Charge,,100%,Yes,Yes,Covered,,,,,,"First prenatal visit subject to Office Visit charge, all subsequent prenatal care rolled into Delivery charge",Substantially Equal,No,No,82,No,No
4803172,1834050,2015,VA,15668,SERFF,9,9/9/2014 16:12,15668,VA,15668VA0130035,15668VA0130035-04,Major Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,112,,
2987804,18682,2015,GA,20544,HIOS,5,11/12/2014 5:24,20544,GA,20544GA0200020,20544GA0200020-02,Durable Medical Equipment,No Charge,,No Charge,No Charge,,No Charge,Yes,,Covered,,,,,,,,No,No,95,Yes,No
1882359,78106,2014,AZ,88925,HIOS,5,2014-01-17 09:36:20,88925,AZ,88925AZ0010056,88925AZ0010056-01,Well Baby Visits and Care,No Charge,,$0,No Charge,,100%,,,Covered,,,,,,,Additional EHB Benefit,No,Yes,107,No,Yes
